electionyear;ideology;spec_eu;policy;party_char;nationalism
2023;3,74;3,75;4,21;2,58;2,33
2023;9,32;1;8,99;8,18;6,67
2023;4,62;7;1,37;1,54;4
2023;7,38;3,33;6,35;6;5,33
2023;6,29;4,38;5,59;3,96;5,67
2024;7,55;1,71;5,77;4,25;7,55
2024;3,71;4,04;2,76;2,28;3,55
2024;4,07;5,47;2,21;3,3;2,18
2024;3,21;6,12;2,01;3,66;4,78
2024;3,02;6,25;2,89;3,36;5
2024;2,07;5,25;1,58;3,85;1,64
2024;8,81;1;8,12;7,6;9,82
2024;0,89;1,62;2,83;4;4,75
2024;7,5;4,62;7,24;1,53;7,5
2024;4,18;5,88;2,06;1,5;1,5
2024;6,82;6;5,36;1,32;4,5
2024;1,32;2,5;0,93;4,14;1
2024;3,4;3,75;1,61;3,02;2,25
2024;3,35;4;1,41;3,14;1,75
2024;7,5;5,75;2,91;2,04;2,25
2024;8,68;2,12;9,06;7,49;9,25
2024;2,96;4,17;3,47;3,09;3,86
2024;7,08;4,62;6,92;4,33;6,57
2024;7,96;1,67;8,96;9,19;10
2024;2,67;4,62;1,22;2,04;0,43
2024;6,67;6,62;2,33;2,37;1,14
2023;3,36;5,5;2,81;2,05;3,2
2023;7,91;5,7;4,46;1,6;2,8
2023;5,77;3,95;5,44;2,65;5,8
2023;1,59;5,3;1,58;3,31;2,6
2023;8,18;1,95;8,67;7,37;8,6
2023;6,68;5,65;2,63;1,7;3,2
2023;4;5,55;1,29;2,43;1,6
2023;7,27;3,38;7,68;2,62;7,2
2023;7,83;4,5;5,03;3,8;3,5
2023;7;4,5;4,25;2;5
2022;1,74;3;1,75;3,71;2,1
2022;3,71;4,86;3,85;2,1;4,5
2022;6,89;5,42;2,4;2,28;2,9
2022;7,03;5,99;4,12;2,61;3,9
2022;7,74;5,17;5,83;2,85;7,1
2022;7,63;4,54;6,77;4,51;7,2
2022;2,95;4,17;1,45;3,16;1,7
2022;7,42;2,33;7,82;7,49;9,5
2024;7,15;6,34;5,62;2,07;4,6
2024;3,29;3,63;7,21;3,81;7,73
2024;4,8;5,42;4,48;2,43;3,3
2024;6,54;6,12;5,53;2,52;5,09
2024;6,53;6,34;3,48;2,18;2
2024;5,88;3,28;7,82;6,76;7,1
2024;6,02;1,36;9,29;7,98;9,91
2024;5,11;6,29;3,46;2,44;2,27
2024;5,35;5,45;4,53;3,09;3,56
2024;5,01;2,31;8,29;7,02;8,56
2024;5,27;2,32;8,59;7,46;8,7
2021;2,58;4,1;4,49;4,33;5,21
2021;7,18;4,25;6,59;2,4;6,5
2021;0,92;1,83;7,84;6,66;8,75
2021;5,68;4,96;6,91;3,01;5,95
2021;7,08;5,88;4,09;2,15;3,4
2021;4,01;3,32;7,27;5,98;7,85
2021;4,32;5,99;2,08;4,18;1,6
2021;6,43;2,17;9,32;8,71;9,85
2021;5,83;5,75;4;2,53;3,2
2021;6,75;2,23;8,27;7,44;8,44
2021;7,92;2,34;8,83;7,39;9
2023;7,39;4,67;8,04;4,3;7,43
2023;3,92;4,58;4,69;3,65;4,33
2023;7;6,27;4,03;1,24;4,29
2023;3,24;5,87;2,34;2,29;2,86
2023;7,39;2,13;9,3;7,46;8,43
2023;6,68;5,98;2,98;2,42;3,14
2023;8,31;5,5;5,24;3,92;4,2
2023;1,32;1,88;3,46;5,67;4
2022;2,91;5,62;3,68;2,65;4
2022;6,16;3,25;8,54;4,56;10
2022;5,59;4,33;6,75;4;6,17
2022;3,7;4,75;2,88;3,83;3,29
2022;4,14;6,07;3,48;2,74;2,43
2022;4,69;6,31;1,55;3,91;1,43
2022;3,61;5,7;1,68;4,61;2
2022;6,96;2,17;8,26;5,93;10
2022;5,82;5,42;4,87;4,94;6
2022;2,74;3,1;4,24;5,14;4,56
2022;5,59;5;5,96;3,47;7
2022;6,8;4,78;7,95;4,99;8,75
2022;3,28;5,25;3,88;4,53;4,18
2022;6,04;6,37;4,11;1,7;5,9
2022;6,03;4,9;6,24;3,79;7,09
2022;5,45;6,5;2,89;2,82;2,9
2022;3,82;3,83;4,91;5,63;5,09
2022;6,39;3,99;6,05;6,29;6,2
2022;2,7;6,46;1,95;3,65;1,91
2024;3,66;5,6;4,7;3,35;5,4
2024;6,15;5,4;4,56;2,51;5,4
2024;5,15;4,38;7,5;5,48;8,2
2024;5,27;4,33;6,72;5,78;7,8
2024;7,11;5,25;3,2;2,47;4
2024;7,16;5,5;1,81;2,06;3,4
2024;5,97;4,12;7,74;6,93;7,5
2024;4,63;5,12;5,04;3,87;5,25
2024;6,53;3,8;8,68;7,08;9,2
2024;5,93;4,75;5,21;5,39;5,33
2023;2,36;5,83;1,82;2,97;1,56
2023;5,55;5,6;4,23;2,74;3,56
2023;5,08;2,9;8,72;6,52;9,06
2023;5,35;4,11;7,11;4,1;6,75
2023;9,18;2,96;9,6;8,4;9,81
2023;0,95;5,05;1,05;4,18;0,88
2023;5,96;5,56;4,8;3,37;4,06
2024;4,11;4,99;5,43;1,28;6,56
2024;6,55;5,45;5,05;1,22;5,3
2024;5,51;4,85;4,28;1,81;5
2024;6,43;5,86;3,79;3,1;3,7
2024;6,89;2,17;8,9;7,28;8,9
2024;6,69;1,58;9,02;7,85;9,7
2024;7,08;1,83;9,01;8,75;10
2023;3,6;3,5;8,66;5,85;8,5
2023;6,31;5,36;7,05;3,65;7,88
2023;6,45;3,02;9,19;5,7;9,75
2023;7,39;5,45;4,18;3,24;3
2023;5,61;4,76;6,49;6,11;6,38
2023;4,8;6,5;1,48;2,16;1,25
2023;6,12;3,88;6,45;5,22;7,5
2023;3,79;4,44;6,25;4,58;6
2023;7,08;2,4;9,53;7,05;9,88
2023;8,28;4,62;8,63;5,63;9
2023;2,95;5,54;2,73;3,04;2,5
2023;7,51;5,29;8,06;5,16;8
